barcode,product_name,brand,category_hint,quantity_hint,unit_hint
0059161402208,Greek Plain Yogurt,Olympic,dairy,1.75,kg
0059161701752,Plain Yogurt,Olympic Biologique,dairy,1.75,kg
0059161702049,Vanilla,Olympic,dairy,650,g
0059161702032,Yogourt Nature,Olympic,dairy,650,g
0059161701769,Vanilla Yogurt,Olympic,dairy,1.75,kg
0064200116442,Spaghetti,Catelli,pantry,500,g
0064200116978,Whole Wheat Spaghettini,Catelli,pantry,375,g
0064200010146,Garden Select Garlic and Onion,Catelli,pantry,600,ml
0064200116206,Penne Rigate,Catelli,pantry,500,g
0064200160056,Gluten Free Macaroni,Catelli,pantry,340,g
0064200010122,Garden Select Tomato and Basil,Catelli,pantry,125,ml
0068100084245,Smooth Peanut Butter,Kraft,pantry,1,kg
0068100084276,Smooth Peanut Butter,Kraft,pantry,2,kg
0068100084665,Only Peanuts Smooth,Kraft,pantry,750,g
0068100084238,Crunchy Peanut Butter,Kraft,pantry,1,kg
0068100083293,Smooth Light Creamy Peanut Butter,Kraft,pantry,1,kg
0068100084214,Smooth Peanut Butter,Kraft,pantry,500,g
0068100083095,Extra Creamy Peanut Butter,Kraft,pantry,1,kg
030000316832,Instant Oatmeal Flavor Variety,Quaker,pantry,18,ct
055000132152,Instant Coffee,Nescafe,pantry,475,g
